"","Ctrl_1.CEL","Ctrl_2.CEL","Ctrl_3.CEL","Dom_1.CEL","Dom_2.CEL","Dom_3.CEL","N_D_3.CEL","N_D_4.CEL","N_D_5.CEL","NEN_2.CEL","NEN_3.CEL","NEN_5.CEL"
"HTA2-pos-3686578_st",11.3630491081794,11.1653342266537,11.3115917919684,11.4747572863857,11.3632653014047,11.2684854952289,11.0146923466143,10.9635125830423,11.1726585605446,10.9746684874347,11.1556398485235,10.940677971918
"HTA2-pos-3686581_st",9.34519909227241,8.86146855117478,9.34500882728419,9.49616488106341,8.97291431764633,9.16186951111936,8.71587963316365,8.99560636003506,8.6449124301313,9.1116578863971,8.77165876159061,8.82558018280246
"HTA2-pos-3686582_st",9.51635489891638,9.65925106729027,9.81538186952281,9.49151731522802,10.3426293090074,10.0171551462501,9.34946356991865,9.83137181667753,9.68824875145075,9.48490499549341,9.64024332583635,9.5908972164235
"HTA2-pos-3686585_st",11.5732126459779,11.5258910098527,11.4902852288625,11.606516736248,11.6254227418541,11.6363759815289,11.3711598815038,11.1302150688885,11.1661827340002,11.3965553922012,11.3015193376357,11.3667083407352
"HTA2-pos-3686587_st",9.8844764704149,10.1042115919112,10.1728785162701,10.2194616185219,10.5144667550596,10.263379998969,9.59624509347367,9.56504216971047,9.88184175543067,9.87663581796497,9.58293416377312,9.89777001772763
"HTA2-pos-3706155_st",5.50512162316528,4.5339448014702,2.61527513474297,5.1598353902253,2.69835489656864,2.03639743917522,2.99611496989604,3.80407320096984,1.80021778541682,5.80518347310863,4.71419909244402,5.15646845513858
"HTA2-pos-3706157_st",7.00913979694014,7.29483188255965,7.31371860662654,7.00819630041663,5.9063795175098,6.60054793243741,6.51215046564572,6.82386972913909,7.0545498342198,6.76812555232152,7.25496771639013,6.80679653454195
"HTA2-pos-3706159_st",7.66397425132964,7.91814617264149,7.61075056014374,8.01940310848016,7.55890468698236,7.96415349820428,7.8897476633901,8.32146548382357,7.74897221569248,7.92628363889148,7.57961488995984,7.51233731987805
"HTA2-pos-3706163_st",8.68350224498028,8.04194900845902,8.22338624520162,8.44133743449138,8.31014809021532,8.30028607136506,8.32822300054704,8.01475637520418,8.22169011580875,8.44626101743277,8.56969064985278,8.12022085915555
"HTA2-pos-3706165_st",7.55968893067782,7.02881712258978,6.95999161004474,7.99104432236387,7.99246128115141,7.76707502565605,6.90687988650787,6.69753442405531,6.57993099292361,7.79522218059307,7.43462079936726,7.8207051474184
"HTA2-pos-3706167_st",9.13378212152823,9.12648708674506,9.33287373838168,9.21775363696122,8.99293581391178,9.03410869480732,8.96878420799011,9.05392346367902,9.24257656796847,9.28732555287732,9.00562204902185,8.89481506354216
"HTA2-pos-3706169_st",9.13656168003789,9.25836763710767,9.12713225214583,9.55666400020823,9.29882426217646,9.22600857329448,9.19229061773865,8.89796877821056,9.22821529958687,9.46147762446613,9.42591335397261,8.86830538345666
"HTA2-pos-3706176_st",8.89756614695028,8.44127532127896,8.76995509314428,8.69642842154908,8.93857315392299,8.79289712440235,8.507512882947,8.36436525484349,8.63114647537457,8.56018504591933,8.50245944782784,7.84417284001252
"HTA2-pos-3706178_st",8.9829760775448,9.18054658818421,8.97457304717858,8.48669113508677,9.05281127876887,8.64860976193429,8.49259934023829,8.81289789357671,8.81150481030304,8.91986361213365,9.05049042209305,8.60238108241936
"HTA2-pos-3706184_st",8.41745510944718,7.96070039848891,8.11391636594201,8.21849677492983,8.11006401983512,7.98568935086844,7.91165726677496,8.08924503975644,8.06819111334766,7.93155239616747,8.26800545548098,7.85109543494126
"HTA2-pos-3706186_st",7.90287216364632,8.08480365451001,7.5793092181536,8.23081676571755,8.40726397900469,7.89430712810118,8.09868540870498,8.36267053316268,8.16824978117171,8.63963895869763,8.59058371635137,8.19023182844182
"HTA2-pos-3706188_st",7.40551470171509,7.14428532764861,7.68304071361849,6.73778187592173,7.66158843620047,6.63157029277727,5.8304433380077,6.87790047681539,7.48420703765094,5.4828404223184,5.81125320121766,7.2450935735268
"HTA2-pos-3706190_st",7.51505198166445,7.39566558170304,6.36217115040285,7.01694704957254,5.48858457251709,6.93493689249014,6.03473283669958,4.96126859273311,5.34471897554859,5.39332644074612,6.2300091658639,6.37182349710351
"HTA2-pos-3706856_st",6.64023205308403,7.36412685476051,6.57110706012499,7.17408453994204,6.48245748806471,5.98676987845124,6.01120733145143,6.05526311075058,6.19473931046153,5.83497516447268,6.44982176106843,6.80519496433959
"HTA2-pos-3706863_st",11.4673079003144,11.5177509561165,11.3387126768268,11.3974736197874,4.41505704146701,11.5423866094861,11.509114744047,11.5630170490137,11.4068245699053,11.5867807419007,11.8666378661298,11.5663707948221
"HTA2-pos-3706867_st",9.98880174845924,10.1168842545104,10.1889482704823,10.1324450315932,10.2333190151605,10.2611144382524,10.1480516883962,10.1311055553431,10.1002231251291,10.2155319189317,10.6093703236148,10.2329194593569
"HTA2-pos-3706874_st",6.01864402273079,6.39230212403921,6.16153386797999,3.18056567596318,6.38800194093746,6.9307268040219,4.3220223799375,6.13782678057236,6.68064001845651,5.06963526453873,6.06247669736659,5.92479134975014
"HTA2-pos-3706876_st",10.6630383699236,10.978888539628,10.543111536216,10.9176200484753,10.9289494483664,10.8831517052364,10.9333519033679,10.9910487420964,10.9731585753222,10.9687561376307,11.0129148474308,10.9848924735205
"HTA2-pos-3706879_st",11.0895050645255,11.1243900313563,10.9773389200612,11.3495802299225,11.1532347744358,11.1602648142838,11.3067969664854,11.2085386637054,11.1371239995565,11.4413875672512,11.4517258092785,11.1676789213256
"HTA2-pos-3706881_st",12.0628216504701,12.0852536029746,11.9286969308416,12.0051695061386,11.9700396444981,11.8444406347559,11.9930412306592,12.1102654934799,12.0090876397239,12.2110844267284,12.2110844267284,12.0958966612464
"HTA2-pos-3706883_st",11.4790218967981,11.4795272192169,11.3933676329584,11.2393991013079,11.3597033230235,11.477842122382,11.2865091180041,11.529877435322,11.5956844335758,11.5072160800767,11.6325404717949,11.7243837830972
"HTA2-pos-3706887_st",6.29307202397838,7.02881712258978,6.70734683454226,7.13184779774683,7.08922032978796,7.26051916919469,6.72336436765744,7.59928636766093,6.60978119575056,7.30984716327429,7.95127952268567,7.63298872313695
"HTA2-pos-3706890_st",9.94141316396311,10.07981689779,10.1043791780357,10.0974823358768,10.2783516210271,9.95152627462793,9.98049536413409,10.0957254942385,10.0509810866729,10.2225926006005,10.3695054993082,10.3321754491945
"HTA2-pos-3706893_st",11.0544906631498,10.9291344370231,10.8868390272007,10.9687861316157,10.994352806914,11.0402034781976,11.049791232428,10.8351944093363,10.966564890711,11.0648544149985,11.3539503651306,10.985841303331
"HTA2-pos-3706896_st",11.7919662896539,11.8287923143885,11.6971192207609,11.7165654692636,11.6229665373436,11.5353964593673,11.672564910653,11.659779994459,11.6089089122725,11.8647194252903,11.7420002266604,11.6802528912977
